#
# This data is provided by behindthename.com and is licensed under CC BY-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0
#
# Given names and their genders, exported from the behindthename.com database.
# Wed, 24 Dec 2025 00:03:14 -0800
#
# name	gender
Aabraham	m
Aada	f
Aadan	m
Aaden	m
Aadolf	m
Aafje	f
Aage	m
Aali	m
Aalis	f
Aaliyah	f
Aamaal	f
Aamadu	m
Aamina	f
Aaminah	f
Aaminata	f
'Aamir	m
Aamir	m
Aamu	f
Aanakwad	mf
Aang	m
Aapeli	m
Aapo	m
Aaralyn	f
Aarav	m
Aaren	mf
Aarne	m
Aarni	m
Aaro	m
Aäron	m
Aarón	m
Aaron	m
Aarre	m
Aart	m
Aarthi	f
Aarti	f
Aase	f
Aatami	m
Aatos	m
Aatto	m
Aatu	m
Aava	f
Abacuc	m
Abaddon	m
Abai	m
Abakar	m
Əbəlfəz	m
Abayomi	m
Abbán	m
'Abbas	m
Abbas	m
Abbe	m
Abbey	f
Abbi	f
Abbie	f
Abbigail	f
Abbondio	m
Abby	f
Abd	m
Abd al-Aziz	m
Abd al-Fattah	m
Abd al-Ghani	m
Abd al-Hadi	m
Abd al-Hakim	m
Abd al-Hamid	m
Abd al-Haqq	m
Abd al-Ilah	m
Abd al-Kader	m
Abd al-Karim	m
Abd Allah	m
Abdallah	m
Abd al-Latif	m
Abd al-Majid	m
Abd al-Malik	m
Abd al-Muhsin	m
Abd al-Qadir	m
Abd al-Rahim	m
Abd al-Rahman	m
Abd al-Rashid	m
Abd al-Salam	m
Abd al-Wali	m
Abd ar-Rahim	m
Abd ar-Rahman	m
Abd ar-Rashid	m
Abd as-Salam	m
Abdastartos	m
Abdastartus	m
Abdel	m
Abdelaziz	m
Abdelfattah	m
Abdelghani	m
Abdelhak	m
Abdelhakim	m
Abdelhamid	m
Abdelkader	m
Abdelkrim	m
Abdellah	m
Abdellatif	m
Abdelmadjid	m
Abdelmajid	m
Abdelrahman	m
Abderrahim	m
Abderrahmane	m
Abdeslam	m
Abdessalam	m
Abdias	m
Abdiel	m
Abdiou	m
Abdirahman	m
Abdirashid	m
Abdo	m
Abdolhossein	m
Abdollah	m
Abdolreza	m
Abdou	m
Abdoul	m
Abdoulaye	m
Abduh	m
Abdul	m
Abdulah	m
Abdülaziz	m
Abdul Aziz	m
Abdulaziz	m
Abdulhadi	m
Abdul Hamid	m
Abdülhamit	m
Abdul Haq	m
Abdülkadir	m
Abdülkerim	m
Abdulla	m
Abdullaahi	m
Abdullah	m
Abdullahi	m
Abdüllatif	m
Abdullo	m
Abdulloh	m
Abdullohi	m
Abdul Majid	m
Abdulmohsen	m
Abdul Rahman	m
Abdulrahman	m
Abdurakhman	m
Abdur Rahim	m
Abdur Rahman	m
Abdurrahman	m
Abdur Rashid	m
Abdus Salam	m
Abduweli	m
Abe	m
Abeba	f
Abebe	m
Abed	m
Abednego	m
Abeeha	f
Abeer	f
Abegail	f
Ábel	m
Abel	m
Abelardo	m
Abele	m
Abelone	f
Abena	f
Abene	f
Abeni	f
Abenner	m
Abera	m
Aberash	f
Abessa	m
Abessalom	m
Abha	f
Abhay	m
Abhijeet	m
Abhijit	m
Abhilash	m
Abhilasha	f
Abhimanyu	m
Abhinav	m
Abhishek	m
Abi	f
Abia	mf
Abiah	mf
Abiathar	m
Abid	m
Abida	f
Abidan	m
Abidemi	mf
Abiel	m
Abigaëlle	f
Abigaia	f
Abigaíl	f
Abigaïl	f
Abigail	f
Abigale	f
Abigayle	f
Abigél	f
Abiha	f
Abihail	mf
Abihu	m
Abijah	mf
Abilene	f
Abílio	m
Abilio	m
Abimael	m
Abimbola	fm
Abimelech	m
Abiodun	mf
Abiola	fm
Abioye	mf
Abir	f
Abiram	m
Abisai	m
Abishag	f
Abishai	m
Abital	f
'Abla	f
Abla	f
Abner	m
Abo	m
Abolfazl	m
Abosede	f
Aboubacar	m
Abraam	m
Abraão	m
Ábrahám	m
Abraham	m
Abrahán	m
Abram	m
Abramo	m
Abrar	fm
Abrasha	m
Abril	f
Absalom	m
Abu	m
Abu al-Fadl	m
Abubakar	m
Abubaker	m
Abu Bakr	m
Əbülfəz	m
Abul-Fazl	m
Abundio	m
Abundius	m
Aca	m
Acacia	f
Acacius	m
Acantha	f
Ace	m
Achaab	m
Achab	m
Achaemenes	m
Achaicus	m
Achaikos	m
Achaimenes	m
Achan	m
Achard	m
'Achashwerosh	m
'Ach'av	m
Acheim	m
Acheloios	m
Achelous	m
Achieng	f
Achille	m
Achilleas	m
Achillefs	m
Achilles	m
Achilleus	m
Achim	m
Achinoam	f
Achlys	f
Achmad	m
Achsah	f
Achta	f
Acke	m
Aco	m
Actaea	f
Actaeon	m
Actor	m
Ad	m
Ada	fm
Adad	m
Adad-Nirari	m
Adaeze	f
Adah	f
Adaiah	m
Adair	mf
Adalberht	m
Adalbern	m
Adalbert	m
Adalberto	m
Adalet	f
Adalfarus	m
Adalfuns	m
Adalgard	f
Adalgund	f
Adalhaid	f
Adalhard	m
Adalheidis	f
Adalia	m
Adalin	m
Adalindis	f
Adaline	f
Adallinda	f
Adaltrud	f
Adalwin	m
Adalwolf	m
'Adalya	m
Adalyn	f
Adalynn	f
Ádám	m
Adəm	m
Adam	m
Adamantia	f
Adamantios	m
Adamina	f
Adamo	m
Adamou	m
Ādams	m
Adamu	m
Adamŭ	m
Adán	m
Adanna	f
Adannaya	f
Adão	m
Adara	f
Adas	m
Adawosgi	m
'Adaya	m
Adde	m
Addie	f
Addilyn	f
Addison	fm
Addisyn	f
Addolorata	f
Addy	fm
Addyson	f
Ade	mf
Adebayo	m
Adebisi	fm
Adebola	mf
Adebowale	mf
Adedayo	mf
Adeeb	m
Adegoke	m
Adei	m
Adekunle	m
Adél	f
Adel	m
Adéla	f
Adela	f
Adelaida	f
Adélaïde	f
Adelaide	f
Adelais	f
Adelajda	f
Adélard	m
Adelardo	m
Adelbert	m
Adèle	f
Adele	f
Adelė	f
Adelgundis	f
Adelheid	f
Adelia	f
Adélie	f
Adelīna	f
Adelina	f
Adelinde	f
Adeline	f
Adelino	m
Adelita	f
Adella	f
Adelle	f
Adelma	f
Adelmar	m
Adelmo	m
Adelyn	f
Adelynn	f
Adem	m
Ademar	m
Ademaro	m
Ademir	m
Ademola	m
Aden	m
Adena	f
Adenike	f
Adeniyi	m
Adeodatus	m
Adeola	fm
Aderonke	f
Aderyn	f
Adetokunbo	mf
Adewale	m
Adeyemi	mf
Adham	m
Ádhamh	m
Adhara	f
Adhelm	m
Adhiambo	f
Adi	fm
Adian	m
Adib	m
Ädıl	m
Adil	m
Adila	f
Adilə	f
Adile	f
Ädılet	m
Adilet	m
Adílson	m
Adin	m
'Adina	m
Adina	mf
Adino	m
Adir	m
Adisa	mf
Aditi	f
Aditya	m
Ädiya	f
Adjoa	f
Adlai	m
Adler	m
Admetos	m
Admetus	m
Admir	m
Adna	f
Adnan	m
Adolf	m
Adolfas	m
Adolfito	m
Adolfo	m
Ādolfs	m
Adolph	m
Adolphe	m
Adolphine	f
Adolphus	m
Adomas	m
Adonai	m
Adonay	m
Adone	m
Adonijah	m
Adoniram	m
Adonis	m
'Adoniya	m
Adora	f
Adoración	f
Adorinda	f
Adorján	m
Adrastea	f
Adrasteia	f
Adrastos	m
Adria	f
Adrià	m
Adriaan	m
Adrián	m
Adrian	m
Adriana	f
Adrianna	f
Adrianne	f
Adriano	m
Adrians	m
Adrianus	m
Adriel	m
Adriele	f
Adrien	m
Adriene	f
Adrienn	f
Adrienne	f
Adrijan	m
Adrijana	f
Adsila	f
Adur	m
Adva	f
Adwoa	f
Adzo	f
Æbbe	f
Áed	m
Áedán	m
Áedh	m
Áednat	f
Aegeus	m
Aegidius	m
Ægir	m
Aegisthus	m
Aegle	f
Aegyptus	m
Ælfflæd	f
Ælfgar	m
Ælfgifu	f
Ælfgyð	f
Ælfheah	m
Ælfhild	f
Ælfnoð	m
Ælfræd	m
Ælfric	m
Ælfsige	m
Ælfstan	m
Ælfswiþ	f
Ælfþryð	f
Ælfthryth	f
Ælfweard	m
Ælfwig	m
Ælfwine	m
Ælfwynn	f
Aelia	f
Aeliana	f
Aelianus	m
Aelita	f
Aelius	m
Aella	f
Ælred	m
Aemilia	f
Aemiliana	f
Aemilianus	m
Aemilius	m
Aeneas	m
Aengus	m
Aenoheso	m
Aenor	f
Aeolus	m
Aeron	mf
Aerona	f
Aeronwen	f
Aeronwy	f
Æsc	m
Aeschylus	m
Aesculapius	m
Aeson	m
Aesop	m
Æthelbald	m
Æðelbeald	m
Æþelbeorht	m
Æthelberht	m
Æðelflæd	f
Æthelflæd	f
Æðelfrið	m
Æðelmær	m
Æthelnoð	m
Æðelræd	m
Æþelræd	m
Æthelred	m
Æðelric	m
Æthelric	m
Æðelstan	m
Æthelstan	m
Æðelþryð	f
Æthelthryth	f
Æthelweald	m
Æthelweard	m
Æðelwine	m
Æthelwine	m
Æðelwulf	m
Aether	m
Aetius	m
Afaf	f
Afan	m
Afanasiy	m
Afanasy	m
Afërdita	f
Affan	m
Affraic	f
Afi	f
Afia	f
Afif	m
Afifa	f
Afifah	f
Afina	f
Afnan	f
Afolabi	m
Afon	fm
Afonso	m
Afonya	m
Afra	f
Afrasiab	m
África	f
Àfrica	f
Africa	f
Africanus	m
Afrim	m
Afrodita	f
Afrodite	f
Afroditi	f
Afsaneh	f
Afsoon	f
Afsoun	f
Afsun	f
Afua	f
Afzal	m
Ağa	m
Aga	f
Agabos	m
Agabus	m
Agafon	m
Agafya	f
Agam	fm
Agamemnon	m
Agape	f
Agapetos	m
Agapetus	m
Agapi	f
Agapios	m
Agapito	m
Agapitos	m
Agapius	m
Agar	f
Ágata	f
Agáta	f
Agata	f
Agate	f
Agatha	f
Agathangelos	m
Agathe	f
Agathi	f
Agathinos	m
Agathinus	m
Agathocles	m
Agathokles	m
Agathon	m
Agatino	m
Agatka	f
Agaue	f
Agda	f
Åge	m
Age	mf
Agelaos	m
Agelaus	m
Agenor	m
Aggaeus	m
Aggaios	m
Aggeus	m
Aggie	f
Aghavni	f
Aghi	m
Aghil	m
Aghlab	m
Ági	f
Agi	m
Agilulf	m
Agim	m
Agimar	m
Aginald	m
Aglaé	f
Aglaea	f
Aglaia	f
Aglaya	f
Agmundr	m
Agnaldo	m
Agnar	m
Agnarr	m
Agne	m
Agnė	f
Agner	m
Ágnes	f
Agnès	f
Agnes	f
Agneša	f
Agnesa	f
Agnese	f
Agness	f
Agnessa	f
Agneta	f
Agnete	f
Agnetha	f
Agnethe	f
Agneza	f
Agni	mf
Agnia	f
Agnieszka	f
Agnija	f
Agniya	f
Ago	m
Agolant	m
Agostina	f
Agostinho	m
Agostino	m
Ágoston	m
Ågot	f
Ágota	f
Agrafena	f
Agramante	m
Agripina	f
Agrippa	mf
Agrippina	f
Agron	m
Agrona	f
Águeda	f
Aguinaldo	m
Agung	m
Agurne	f
Agurtzane	f
Agus	m
Ágúst	m
Agustí	m
Agustín	m
Agustina	f
Ah	mf
Ahab	m
Aharon	m
Ahasuerus	m
Ahava	f
Ahenobarbus	m
Ahinoam	f
Ahlam	f
Əhməd	m
Ahmad	m
Ahmadu	m
Ahmat	m
Ahmed	m
Ahmet	m
Ahmose	mf
Aholibamah	f
'Aholivama	f
Ahoth	m
Ahriman	m
Ahsan	m
Ahsen	fm
Ahtahkakoop	m
Ahti	m
Ahu	f
Ahuludegi	m
Ahura Mazda	m
Ahuva	f
Ai	f
Aia	f
Aiaru	f
Aias	m
Aibar	m
Aibek	m
Aíbinn	f
Aïcha	f
Aïchatou	f
Aída	f
Aida	f
Aidai	f
Aidan	m
Aidana	f
Aidas	m
Aiday	f
Aideen	f
Aiden	m
Aidos	m
Aífe	f
Aifric	f
Aiga	f
Aigar	m
Aigars	m
Äigerım	f
Aigeus	m
Aigisthos	m
Aigle	f
Aignéis	f
Aigül	f
Aigul	f
Aigyptos	m
Aija	f
Aijan	f
Aikaterine	f
Aikaterini	f
Aike	m
Aiko	f
Aikörkem	f
Aila	f
ʻAilani	fm
Ailani	f
Ailany	f
Ailbe	mf
Ailbhe	fm
Áile	f
Ailean	m
Aileas	f
Aileen	f
Ailen	f
Aili	f
Ailill	m
Ailín	m
Ailin	f
Ailís	f
Ailis	f
Ailish	f
Ailpean	m
Ailsa	f
Aílton	m
Aiman	fm
Aimar	m
Aimé	m
Aimée	f
Aimee	f
Aimeric	m
Aimery	m
Aimi	f
Aimilia	f
Aimilios	m
Aimo	m
Ain	m
Aina	f
Ainara	f
Ainārs	m
Aindrea	m
Aindréas	m
Aindriú	m
Áine	f
Aineias	m
Aingeal	f
Aingeru	m
Ainhara	f
Ainhoa	f
Aino	f
Ainoa	f
Ainslee	f
Ainsley	fm
Ainslie	f
Aintza	f
Aintzane	f
Ainūr	f
Ainura	f
Aiolos	m
Aira	f
Airat	m
Airi	f
Airmanagild	m
Airmanareiks	m
Aírton	m
Aişa	f
Aişə	f
Aisana	f
Aischylos	m
'Aisha	f
A'isha	f
Aisha	f
Aishah	f
Aishat	f
Aishath	f
Aishatu	f
Aishwarya	f
Aislin	f
Aisling	f
Aislinn	f
Aison	m
Aisopos	m
Aïssa	f
Aïssatou	f
Aistė	f
Aistulf	m
Aisūltan	m
Aisyah	f
Aitana	f
Aithan	m
Aithbhreac	f
Aither	m
Aithne	f
Aitor	m
Aitöre	m
Aiur	m
Aivar	m
Aivars	m
Aiwareiks	m
Aiym	f
Aiza	f
Aizah	f
Aizere	f
Aizhamal	f
Aizhan	f
Aizirek	f
Ajan	m
Ajax	m
Ajay	m
Ajda	f
Ajdin	m
Ajeet	m
Ajei	f
Ajit	m
Ajita	m
Ajith	m
Ajla	f
Ajlin	f
Ajna	f
Ajnur	m
Ajša	f
Akachi	mf
Akaki	m
Akakios	m
Akamu	m
Akane	f
Akanksha	f
Akantha	f
Akari	f
Akash	m
Əkbər	m
Akbar	m
